"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Performance (3 Years)","Performance (5 Years)","Performance (10 Years)","Volatility (Week)","Volatility (Month)","Average Volume","Relative Volume","Price","Change","Volume"
4271,"TDI",1.13%,7.04%,3.92%,5.20%,22.39%,31.99%,,,,0.58%,0.91%,72.44,0.00,47.34,0.00%,0
4272,"TDIV",0.40%,5.66%,-1.99%,15.12%,18.41%,24.23%,99.24%,96.83%,296.99%,0.81%,1.27%,143.93,0.00,114.67,0.00%,0
4273,"TDSB",0.01%,2.58%,1.09%,0.09%,4.84%,10.70%,21.16%,-3.97%,,0.10%,0.16%,5.65,0.00,25.13,0.00%,0
4274,"TDSC",-0.60%,3.93%,3.12%,6.37%,13.39%,15.13%,31.56%,4.71%,,0.21%,0.32%,9.81,0.00,28.66,0.00%,0
4275,"TDV",0.87%,4.69%,0.21%,13.09%,18.22%,20.95%,57.41%,65.14%,,0.52%,0.88%,6.22,0.00,102.35,0.00%,0
4276,"TDVG",-0.30%,0.14%,4.81%,6.05%,11.50%,15.90%,51.25%,51.39%,,0.57%,0.67%,57.26,0.00,50.14,0.00%,0
4277,"TDVI",-0.22%,4.56%,-3.85%,10.48%,12.51%,15.57%,58.65%,,,0.90%,1.27%,120.18,0.00,31.21,0.00%,0
4278,"TDW",-6.15%,18.90%,18.27%,13.06%,75.83%,49.66%,45.28%,707.36%,-9.68%,3.04%,4.34%,724.63,0.00,88.81,0.00%,0
4279,"TDWD",0.20%,0.60%,1.00%,1.92%,2.54%,,,,,0.00%,0.04%,50.16,0.00,10.10,0.00%,0
4280,"TEC",-0.22%,6.61%,1.11%,19.39%,16.63%,27.88%,,,,0.10%,0.33%,0.51,0.00,32.90,0.00%,0
4281,"TECB",-0.47%,9.20%,6.00%,30.81%,23.03%,29.08%,100.54%,75.46%,,0.68%,1.01%,13.74,0.00,74.90,0.00%,0
4282,"TECK",7.32%,23.52%,7.43%,16.41%,48.26%,115.61%,79.06%,219.27%,364.32%,2.40%,2.74%,3212.24,0.01,71.00,-0.17%,893
4283,"TECL",5.72%,36.71%,-10.87%,93.56%,74.68%,110.36%,357.16%,225.09%,4668.03%,4.19%,5.75%,927.36,0.10,205.23,6.50%,4769
4284,"TECX",-2.89%,20.70%,18.21%,55.65%,72.44%,40.02%,98.51%,-49.87%,,6.04%,6.69%,186.39,0.00,35.97,0.00%,0
4285,"TEI",0.00%,2.71%,7.06%,-0.73%,5.74%,16.23%,40.99%,-7.65%,-34.03%,1.39%,1.26%,128.33,0.00,6.82,0.00%,0
4286,"TEM",2.30%,64.09%,32.93%,23.05%,15.46%,-6.90%,,,,9.69%,7.58%,6755.11,0.08,68.18,-0.44%,26939
4287,"TEMC",20.86%,128.69%,,,21.59%,,,,,12.03%,5.76%,0.99,0.00,26.98,0.00%,0
4288,"TEMX",2.33%,8.73%,0.10%,12.18%,25.94%,34.31%,,,,0.30%,0.21%,0.40,0.00,37.36,0.00%,0
4289,"TEN",-5.52%,2.57%,0.37%,21.56%,79.53%,86.43%,99.59%,476.59%,68.66%,2.70%,3.14%,259.27,0.00,40.25,0.00%,0
4290,"TEND",-0.07%,2.27%,2.65%,8.19%,9.47%,,,,,0.19%,0.23%,11.21,0.00,27.86,0.00%,0
4291,"TENJ",-0.14%,2.46%,3.46%,11.26%,10.45%,,,,,0.20%,0.26%,24.97,0.00,28.20,0.00%,0
4292,"TENM",0.07%,1.88%,2.62%,7.07%,8.69%,,,,,0.07%,0.13%,3.82,0.00,27.58,0.00%,0
4293,"TEO",2.29%,-0.36%,-2.23%,19.91%,16.29%,63.64%,158.06%,209.03%,14.83%,3.57%,3.77%,445.62,0.00,13.50,1.06%,2
4294,"TEQI",-0.09%,1.22%,5.59%,10.87%,16.61%,20.48%,54.06%,52.37%,,0.56%,0.75%,18.85,0.00,52.67,0.00%,0
4295,"TEVA",2.47%,8.67%,9.27%,11.70%,20.86%,108.98%,288.87%,303.42%,-26.83%,2.32%,2.83%,5797.06,0.01,37.72,-0.53%,2628
4296,"TEXN",-1.12%,5.54%,0.25%,9.89%,22.10%,25.36%,,,,0.28%,0.48%,2.51,0.00,33.08,0.00%,0
4297,"TEXU",-2.19%,15.49%,7.37%,21.40%,75.42%,,,,,0.90%,1.45%,2.05,0.00,42.07,0.00%,0
4298,"TEXX",-0.46%,4.90%,5.18%,9.16%,18.98%,,,,,0.42%,0.40%,1.02,0.00,30.47,0.00%,0
4299,"TFFI",0.10%,1.02%,1.83%,1.20%,1.55%,,,,,0.38%,0.68%,7.08,0.00,20.29,0.00%,0
4300,"TFGZ",-0.07%,5.56%,3.81%,,19.93%,,,,,0.09%,0.07%,0.84,0.00,36.53,0.00%,0
4301,"TFLO",0.06%,-0.04%,0.02%,0.04%,0.34%,0.06%,-0.14%,0.71%,0.96%,0.02%,0.02%,1445.31,0.00,50.63,0.02%,6
4302,"TFNS",1.23%,1.26%,13.62%,13.39%,8.75%,12.59%,,,,0.40%,0.62%,4.74,0.00,29.89,0.00%,0
4303,"TFPM",5.77%,22.68%,14.99%,-12.87%,5.99%,33.68%,160.62%,,,3.56%,3.09%,648.46,0.08,35.21,0.66%,2716
4304,"TFSL",3.09%,-0.93%,14.03%,24.93%,34.83%,26.77%,34.23%,-9.26%,-1.64%,1.72%,2.41%,919.88,0.00,18.04,0.67%,2
4305,"TGB",8.97%,34.16%,32.23%,11.47%,63.07%,189.34%,583.70%,449.40%,1855.09%,4.32%,5.28%,5637.68,0.00,9.23,0.00%,0
4306,"TGLB",1.28%,4.96%,5.91%,15.73%,16.72%,18.71%,,,,0.10%,0.51%,0.84,0.00,30.47,0.00%,0
4307,"TGRT",1.63%,7.28%,-0.70%,11.38%,5.54%,11.03%,82.95%,,,0.69%,1.10%,163.36,0.00,46.70,1.26%,1
4308,"TGRW",-0.66%,4.11%,-2.87%,6.93%,1.97%,7.03%,69.92%,40.28%,,0.39%,0.92%,19.71,0.00,46.92,0.00%,0
4309,"TGTX",8.90%,2.95%,41.83%,78.19%,84.70%,92.72%,425.38%,103.40%,768.45%,7.27%,4.89%,2447.35,0.02,55.06,0.05%,2358
4310,"THC",2.11%,4.40%,51.44%,15.67%,37.98%,52.29%,269.38%,272.74%,1080.84%,2.63%,2.93%,1251.05,0.00,274.19,0.00%,0
4311,"THEO",0.20%,,,,0.20%,,,,,0.12%,,665.50,0.00,9.87,0.00%,0
4312,"THEQ",-0.18%,2.23%,1.41%,6.22%,8.32%,12.00%,,,,0.13%,0.32%,5.00,0.00,30.31,0.00%,0
4313,"THFF",0.16%,-0.65%,14.52%,20.57%,31.08%,33.63%,119.76%,95.26%,101.76%,1.86%,2.12%,108.40,0.00,79.20,0.16%,5
4314,"THG",4.34%,1.90%,19.12%,29.70%,24.97%,31.93%,116.32%,64.11%,213.65%,1.96%,2.12%,328.47,0.00,228.41,0.00%,0
4315,"THIR",-0.41%,2.30%,-0.41%,3.79%,6.30%,13.11%,,,,0.36%,0.52%,42.48,0.00,34.25,0.00%,0
4316,"THLV",0.17%,-0.31%,0.96%,0.12%,10.84%,12.15%,32.23%,,,0.44%,0.47%,9.01,0.00,33.11,0.00%,0
4317,"THM",-5.65%,39.79%,6.37%,-17.59%,43.55%,97.78%,567.50%,214.04%,167.00%,5.20%,7.73%,1097.65,0.00,2.67,0.00%,0
4318,"THMZ",0.69%,5.06%,3.78%,7.48%,6.31%,12.59%,,,,0.02%,0.65%,1.66,0.00,34.75,0.00%,0
4319,"THNQ",0.93%,14.79%,2.97%,41.82%,43.03%,55.87%,162.84%,104.80%,,1.40%,2.01%,28.87,0.00,90.81,0.74%,3
4320,"THOR",0.36%,2.25%,,,6.88%,,,,,0.98%,1.18%,23.58,0.00,26.59,0.00%,0
4321,"THRO",-0.80%,3.64%,1.18%,12.62%,12.97%,18.53%,82.84%,,,0.57%,0.86%,1773.50,0.00,43.56,0.00%,0
4322,"THYP",14.28%,56.22%,36.11%,,92.40%,,,,,4.64%,4.34%,161.63,0.65,48.10,2.24%,5270
4323,"TIER",0.94%,5.48%,3.02%,5.59%,17.16%,25.80%,,,,0.28%,0.49%,9.82,0.00,33.10,0.00%,0
4324,"TIGO",6.33%,2.14%,14.76%,38.23%,76.23%,110.46%,556.74%,233.80%,136.82%,2.93%,3.88%,1737.81,0.00,96.20,0.04%,18
4325,"TIH",-0.02%,,,,0.39%,,,,,0.16%,,6.85,0.00,25.09,0.00%,0
4326,"TII",16.23%,47.39%,19.64%,-28.16%,-3.40%,106.16%,517.29%,653.87%,,6.81%,7.44%,1067.25,0.00,2.86,-1.06%,184
4327,"TIIV",0.90%,2.72%,4.55%,2.70%,14.17%,21.10%,,,,0.11%,0.08%,2.36,0.00,30.78,0.00%,0
4328,"TILC",0.70%,4.17%,,,3.47%,,,,,0.23%,0.36%,0.44,0.00,26.11,0.00%,0
4329,"TILE",-1.58%,12.34%,30.30%,21.74%,38.61%,43.76%,292.10%,178.42%,123.57%,2.86%,3.32%,516.16,0.00,38.70,0.00%,0
4330,"TILT",-0.22%,2.77%,3.85%,10.82%,14.18%,20.41%,69.59%,63.18%,214.23%,0.25%,0.48%,5.01,0.00,283.94,0.00%,0
4331,"TIME",-0.53%,2.73%,-1.67%,10.24%,8.30%,13.55%,32.15%,,,0.27%,0.37%,3.33,0.00,26.81,0.00%,0
4332,"TINS",0.57%,2.03%,2.14%,2.61%,14.31%,,,,,0.00%,0.00%,0.03,0.00,29.56,0.00%,0
4333,"TINT",-1.01%,5.19%,-4.58%,-1.29%,20.35%,22.45%,26.28%,,,0.14%,0.32%,0.59,0.00,40.14,0.00%,0
4334,"TIPT",0.82%,2.16%,6.34%,8.92%,0.93%,-20.41%,14.81%,85.27%,254.68%,2.30%,2.29%,254.97,0.00,18.44,0.00%,0
